"","Ind_ID","tape","Site_name","mass_day10","purge_time","day10","cohort_date","cohort_day","Host","Li.cor","X","rando_assign","uniqueID"
"4",4,"orange","Grant",8.192,"17:36","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o4"
"6",6,"orange","Grant",10.106,"17:35","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o6"
"11",11,"orange","Grant",9.005,"17:34","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o11"
"12",12,"orange","Grant",7.24,"17:33","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o12"
"14",14,"orange","Grant",7.353,"17:33","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o14"
"19",19,"orange","Grant",6.921,"17:31","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o19"
"22",22,"orange","Grant",8.801,"17:30","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o22"
"30",30,"orange","Grant",7.496,"17:27","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o30"
"32",32,"orange","Grant",7.273,"17:26","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o32"
"40",40,"orange","Ferris",7.376,"17:21","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o40"
"41",41,"orange","Ferris",8.723,"17:21","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o41"
"43",43,"orange","Ferris",7.239,"17:20","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o43"
"49",49,"orange","Ferris",7.325,"17:18","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o49"
"51",51,"orange","Ferris",7.625,"16:54","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o51"
"55",55,"orange","Ferris",8.561,"16:52","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o55"
"57",57,"orange","Ferris",7.468,"16:50","2017-09-05","2017-08-26",3,"Apple",7000,NA,"RT eclosion","3o57"
"60",2,"white","Coll Hall",7.869,"17:17","2017-09-05","2017-08-26",3,"Haw",6262,NA,"RT eclosion","3w2"
"65",7,"white","Grant",8.017,"17:15","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w7"
"67",9,"white","Grant",7.278,"17:14","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w9"
"70",12,"white","Grant",10.181,"17:12","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w12"
"73",15,"white","Grant",10.368,"17:11","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w15"
"78",20,"white","Grant",8.835,"17:09","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w20"
"83",25,"white","Grant",5.002,"17:06","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w25"
"84",26,"white","Grant",6.16,"17:05","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w26"
"88",30,"white","Grant",6.91,"17:04","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w30"
"90",32,"white","Grant",5.865,"17:03","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w32"
"93",35,"white","Grant",6.539,"17:02","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w35"
"96",38,"white","Grant",8.529,"17:01","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w38"
"99",41,"white","Ferris",7.863,"16:59","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w41"
"101",43,"white","Ferris",10.262,"16:58","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w43"
"105",47,"white","Ferris",10.985,"16:56","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w47"
"109",51,"white","Ferris",5.977,"16:49","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w51"
"113",55,"white","Ferris",8.403,"16:47","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w55"
"115",57,"white","Ferris",9.711,"16:46","2017-09-05","2017-08-26",3,"Apple",6262,NA,"RT eclosion","3w57"
