starttime_VCO2_6262_1,area_VCO2_6262_1,n,data_num,
13:26:03,6.99E-02,1,1,orange
13:27:25,0.1043317,3,2,orange
13:28:45,0.1235798,4,3,orange
13:30:06,0.9628831,5,4,orange
13:31:25,0.3804671,6,5,orange
13:32:48,1.294709,7,6,orange
13:34:01,0.9699637,8,7,orange
13:35:15,1.002697,9,8,orange
13:36:26,0.1061659,10,9,orange
13:38:03,8.71E-02,11,10,orange
13:39:07,0.1078483,12,11,orange
13:40:16,1.000737,13,12,orange
13:41:30,0.0445403,14,13,orange
13:42:48,4.04E-02,15,14,orange
13:43:52,1.300553,16,15,orange
13:45:09,0.6386935,17,16,orange
13:46:18,0.1043842,18,17,orange
13:47:34,0.9455598,19,18,orange
13:48:50,7.71E-02,20,19,orange
13:50:08,1.282438,21,20,orange
13:51:19,1.60E-02,22,21,orange
13:52:39,4.27E-02,23,22,orange
13:54:05,8.64E-02,24,23,orange
13:55:08,7.54E-02,25,24,orange
13:56:17,0.5575531,26,25,orange
13:57:27,4.94E-02,27,26,orange
13:58:38,5.02E-02,28,27,orange
13:59:43,9.72E-02,29,28,orange
14:01:01,0.1219963,30,29,orange
,,,30,orange
14:02:24,5.08E-02,31,31,orange
14:03:38,0.8510131,32,32,orange
14:04:46,0.1014818,33,33,orange
14:05:54,3.97E-02,34,34,orange
14:06:57,0.2867093,35,35,orange
14:08:11,0.1070328,36,36,orange
14:09:19,6.47E-02,37,37,orange
,,,38,orange
14:10:23,0.1349461,39,39,orange
14:11:27,1.115538,40,40,orange
14:12:39,6.93E-02,41,41,orange
14:13:40,0.0669483,42,42,orange
14:14:36,0.0771708,43,43,orange
14:15:40,9.62E-02,44,44,orange
14:16:44,5.28E-02,45,45,orange
14:17:57,9.66E-02,46,46,orange
,,,47,orange
14:19:10,0.1265217,48,48,orange
14:20:30,6.95E-02,49,49,orange
14:21:47,0.0773105,50,50,orange
14:23:02,0.5723099,51,51,orange
14:24:10,8.63E-02,52,52,orange
14:25:20,1.006703,53,53,orange
14:26:33,0.2008924,54,54,orange
14:27:35,7.62E-02,55,55,orange
14:28:39,8.37E-02,56,56,orange
14:29:54,0.1177217,57,57,orange
14:31:12,1.110716,58,58,orange
14:32:22,8.79E-02,59,59,orange
14:33:36,1.048328,60,60,orange
14:34:42,8.54E-02,61,61,orange
14:35:42,9.96E-03,62,62,orange
14:36:59,0.182968,63,63,orange
14:38:13,0.1205975,64,64,orange
14:39:11,9.28E-02,65,65,orange
14:40:15,1.48E-02,66,66,orange
14:41:13,0.7572528,67,67,orange
14:42:21,0.1370301,68,68,orange
14:43:25,9.25E-02,69,69,orange
14:44:23,8.82E-02,70,70,orange
14:45:21,1.093547,71,71,orange
14:46:48,0.1590046,72,72,orange
14:47:51,0.1130021,73,73,orange
14:48:45,9.37E-02,74,74,orange
14:49:39,0.1036049,75,75,orange
14:50:34,0.9751113,76,76,orange
14:51:43,9.47E-03,77,77,orange
14:52:37,9.66E-03,78,78,orange
13:26:03,6.23E-02,1,1,white
13:27:25,1.116512,2,2,white
13:28:45,0.1755771,3,3,white
13:30:06,0.1124367,4,4,white
13:31:25,1.649461,5,5,white
13:32:48,1.065942,6,6,white
13:34:01,1.607713,7,7,white
13:35:15,0.1411569,8,8,white
13:36:26,0.1731398,9,9,white
13:38:03,0.2275009,10,10,white
13:39:07,0.1434972,11,11,white
,,,12,white
13:40:16,0.4860066,12,13,white
13:41:30,0.2373016,13,14,white
13:42:48,0.1051797,14,15,white
,,,16,white
13:43:52,0.9566836,16,17,white
13:45:09,0.1939579,17,18,white
,,,19,white
13:46:18,1.453726,19,20,white
13:47:34,1.637548,20,21,white
13:48:50,1.959853,21,22,white
13:50:08,1.045449,22,23,white
13:51:19,0.125105,23,24,white
13:52:39,0.8546162,24,25,white
13:54:05,0.1158061,25,26,white
13:55:08,8.06E-02,26,27,white
13:56:17,0.2236417,27,28,white
13:57:27,0.0669229,28,29,white
13:58:38,9.53E-02,29,30,white
13:59:43,8.88E-02,30,31,white
14:01:01,0.1878995,31,32,white
14:02:24,1.234512,32,33,white
,,,34,white
,,,35,white
14:03:38,0.1029449,36,36,white
14:04:46,0.1583562,37,37,white
14:05:54,0.2478231,38,38,white
14:06:57,0.2310615,39,39,white
14:08:11,0.1649091,40,40,white
14:09:19,0.2023596,41,41,white
14:10:23,0.1611952,42,42,white
14:11:27,1.269099,43,43,white
14:12:39,0.2719187,44,44,white
14:13:40,0.1555932,45,45,white
14:14:36,0.2642829,46,46,white
14:15:40,0.1415041,47,47,white
14:16:44,1.154972,48,48,white
14:17:57,1.225845,49,49,white
14:19:10,0.2032043,50,50,white
14:20:30,1.570572,51,51,white
14:21:47,1.319308,52,52,white
14:23:02,9.05E-02,53,53,white
14:24:10,1.158518,54,54,white
14:25:20,0.2481839,55,55,white
14:26:33,0.219445,56,56,white
14:27:35,0.1824077,57,57,white
14:28:39,0.8387026,58,58,white
14:29:54,0.9499008,59,59,white
14:31:12,0.1221699,60,60,white
14:32:22,1.440635,61,61,white
,,,62,white
14:33:36,0.1123689,63,63,white
14:34:42,8.92E-02,64,64,white
,,,65,white
14:35:42,1.308663,66,66,white
14:36:59,0.1607953,67,67,white
14:38:13,0.1816118,68,68,white
14:39:11,0.1793586,69,69,white
14:40:15,9.18E-02,70,70,white
14:41:13,0.1595813,71,71,white
14:42:21,0.1860625,72,72,white
14:43:25,0.1393056,73,73,white
14:44:23,0.1298089,74,74,white
14:45:21,0.1194427,75,75,white
14:46:48,9.98E-02,76,76,white
14:47:51,1.14E-02,77,77,white
14:48:45,1.18E-02,78,78,white
